
 name                                value               environments                        created    
 ILOVEPDF_SECRET_KEY                 Encrypted           Production                          36m ago    
 ILOVEPDF_PUBLIC_KEY                 Encrypted           Production                          37m ago    
 CLOUDINARY_API_SECRET               Encrypted           Production                          3d ago     
 CLOUDINARY_API_KEY                  Encrypted           Production                          3d ago     
 CLOUDINARY_URL                      Encrypted           Production                          3d ago     
 CLOUDINARY_CLOUD_NAME               Encrypted           Production                          3d ago     
 NEXT_PUBLIC_FIREBASE_PROJECT_ID     Encrypted           Production                          3d ago     
 FIREBASE_CLIENT_CERT_URL            Encrypted           Development, Preview, Production    3d ago     
 FIREBASE_CLIENT_ID                  Encrypted           Development, Preview, Production    3d ago     
 FIREBASE_CLIENT_EMAIL               Encrypted           Development, Preview, Production    3d ago     
 FIREBASE_PRIVATE_KEY_ID             Encrypted           Development, Preview, Production    3d ago     
 FIREBASE_PRIVATE_KEY                Encrypted           Development, Preview, Production    3d ago     
 NEXT_PUBLIC_FIREBASE_AUTH_DOMAIN    Encrypted           Production                          3d ago     
 NEXT_PUBLIC_FIREBASE_API_KEY        Encrypted           Production                          3d ago     
 GEMINI_API_KEY                      Encrypted           Development, Preview, Production    5d ago     

